    PK08O020  2018 10 20.0359  3.815167  0.151431   26.9609  325.8454    9.5127  20180124   9.0  4.0  P/2008 O2 (McNaught)                                     MPC 75709
    PK08O030  2008 05 23.3597  2.524088  0.693426  341.1433   47.6411   32.1851  20180124  13.0  4.0  P/2008 O3 (Boattini)                                     MPC 64114
    CK08P010  2009 07 19.9259  3.887757  0.998663   11.7051  357.7776   64.2800  20180124   7.0  4.0  C/2008 P1 (Garradd)                                      MPC103843
    CK08Q010  2008 12 25.4823  2.970991  0.994566  104.4054    9.1588  118.5225  20180124  10.0  4.0  C/2008 Q1 (Maticic)                                      MPC 65935
    CK08Q030  2009 06 19.4847  1.812383  0.998740  340.6932  219.4812  140.8173  20180124  10.0  4.0  C/2008 Q3 (Garradd)                                      MPC 80896
    PK08Q20P  2015 05 15.4592  1.758201  0.501128   74.6920  323.5311    7.5555  20180124  15.5  4.0  P/2008 QP20 (LINEAR-Hill)                                MPC 75709
    CK08R030  2008 11 18.0740  1.914273  0.895181   84.0349  270.7767   43.2951  20180124  13.0  4.0  C/2008 R3 (LINEAR)                                       MPC 64115
    CK08S030  2011 06  7.6309  8.002707  1.001957   40.0587   55.0792  162.6924  20180124   4.0  4.0  C/2008 S3 (Boattini)                                     MPC 95207
    CK08T020  2009 06 15.2396  1.203722  1.000213  215.9371  309.6226   56.1866  20180124   6.0  4.0  C/2008 T2 (Cardinal)                                     MPC 66921
    PK08W96Z  2015 03 24.0771  1.729524  0.495851  342.1225   56.8376    7.2478  20180124  13.5  4.0  P/2008 WZ96 (LINEAR)                                     MPC 66204
    CK08X030  2008 10  8.3425  1.921738  0.955993  140.9961  337.6367   66.4595  20180124  13.0  4.0  C/2008 X3 (LINEAR)                                       MPC 65057
    PK08Y010  2019 09 10.6922  1.268603  0.735893  162.7997  259.3343    8.9180  20180124  15.0  4.0  P/2008 Y1 (Boattini)                                     MPC 65935
    PK08Y030  2009 01 10.6761  4.443092  0.447242  238.4257  262.7999   38.7715  20180124   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC 75710
    PK08Y120  2019 10  9.8640  0.067755  0.977980  144.3170  309.8551   23.5757  20180124   9.0  4.0  P/2008 Y12 (SOHO)                                        MPC 88693
    PK09B010  2026 07 11.1122  2.458417  0.634625  129.1069  297.0793   22.2238  20180124  13.0  4.0  P/2009 B1 (Boattini)                                     MPC 75710
    CK09B020  2009 03  5.2133  2.349779  0.942347  192.5468   18.7163  156.9484  20180124  12.5  4.0  C/2009 B2 (LINEAR)                                       MPC 82315
    CK09E010  2009 04  9.3990  0.590797  0.985300   48.6982  105.7512  127.2152  20180124  11.5  4.0  C/2009 E1 (Itagaki)                                      MPC 72850
    CK09F010  2009 06 26.8392  1.844785  0.980971  219.8076  357.9560  171.3978  20180124  15.0  4.0  C/2009 F1 (Larson)                                       MPC 82315
    CK09F020  2009 11 13.9147  5.890646  0.983747  336.5013  213.9061   59.3352  20180124   6.0  4.0  C/2009 F2 (McNaught)                                     MPC 80256
    CK09F040  2012 01  1.6319  5.450763  0.999778  260.3739   53.5592   79.4583  20180124   3.0  4.0  C/2009 F4 (McNaught)                                     MPC 95208
    CK09F050  2008 11  2.7715  2.251151  0.971373  297.3616  218.7697   84.9390  20180124  10.0  4.0  C/2009 F5 (McNaught)                                     MPC 66204
    CK09F060  2009 05  5.5127  1.287947  0.997411  129.9435  278.9698   85.6656  20180124   6.0  4.0  C/2009 F6 (Yi-SWAN)                                      MPC 72850
    CK09G010  2009 04 13.9509  1.122406  0.997115  175.2720  120.5925  108.4758  20180124   9.0  4.0  C/2009 G1 (STEREO)                                       MPC 66466
    CK09K020  2010 02  8.5303  3.223757  0.996223  147.4954  123.6758   66.8437  20180124  10.0  4.0  C/2009 K2 (Catalina)                                     MPC 82315
    CK09K040  2009 06 19.8954  1.555911  0.963253  127.7833   29.7839   34.8385  20180124  13.0  4.0  C/2009 K4 (Gibbs)                                        MPC 66703
    CK09K050  2010 04 28.7647  1.426921  0.999312   66.2143  258.0775  104.2405  20180124   7.5  4.0  C/2009 K5 (McNaught)                                     MPC 82315
    CK09O020  2010 03 23.8380  0.707078  0.997282  133.6734  310.4190  107.8493  20180124  11.0  4.0  C/2009 O2 (Catalina)                                     MPC 69905
    PK09O030  2009 05 11.5494  2.447870  0.685406  154.2995  183.8122   16.2140  20180124  12.5  4.0  P/2009 O3 (Hill)                                         MPC 75710
    CK09O040  2009 12 28.3411  2.565896  0.999871  223.6993  172.9950   95.7158  20180124  10.0  4.0  C/2009 O4 (Hill)                                         MPC 67147
    CK09P010  2011 12 21.3041  1.561510  0.999805   90.8637  326.1206  106.2547  20180124   4.0  4.0  C/2009 P1 (Garradd)                                      MPC103843
    CK09P020  2010 02  9.2242  6.528602  1.000065   76.1287   60.4928  163.4127  20180124   6.0  4.0  C/2009 P2 (Boattini)                                     MPC 76024
    PK09Q010  2022 05 26.1127  2.794047  0.493636  157.1610  173.9454   14.4980  20180124  11.5  4.0  P/2009 Q1 (Hill)                                         MPC 75710
    PK09Q040  2015 06 13.3073  1.313427  0.580716  320.0778  127.5193   10.9860  20180124  15.5  4.0  P/2009 Q4 (Boattini)                                     MPC 72850
    PK09Q050  2009 08 29.4681  2.927973  0.606858  209.1224  160.1883   40.8790  20180124  10.0  4.0  P/2009 Q5 (McNaught)                                     MPC 68902
    CK09R010  2010 07  1.7498  0.415005  1.000394  130.9056  322.7034   76.9468  20180124   8.0  4.0  C/2009 R1 (McNaught)                                     MPC 82315
    CK09S030  2011 12 11.2263  6.463280  0.998942  129.6945  225.1767   60.4569  20180124   6.5  4.0  C/2009 S3 (Lemmon)                                       MPC 87062
    PK09SS0K  2019 10 23.9145  4.209307  0.119101  327.9470   36.4150   16.8000  20180124  11.0  4.0  P/2009 SK280 (Spacewatch-Hill)                           MPC 78184
    CK09T010  2009 10  8.7212  6.223228  0.994355  282.5996   54.4706   90.0460  20180124   6.5  4.0  C/2009 T1 (McNaught)                                     MPC 76567
    PK09T020  2010 01  4.4252  1.817330  0.764876  216.5950  215.7151   27.4943  20180124  14.0  4.0  P/2009 T2 (La Sagra)                                     MPC 75711
    CK09T030  2010 01 12.2165  2.266795  0.999403   32.3763   60.1740  148.5887  20180124  12.5  4.0  C/2009 T3 (LINEAR)                                       MPC 82315
    CK09U030  2010 03 18.6258  1.425159  0.992008   77.9864   49.0597   51.0557  20180124  13.0  4.0  C/2009 U3 (Hill)                                         MPC 70812
    PK09U040  2021 02  1.8204  1.649268  0.675207  259.8297   55.3687   10.0807  20180124  14.0  4.0  P/2009 U4 (McNaught)                                     MPC 75711
    CK09U050  2010 06 23.0546  6.129073  1.004182   24.2531  121.0529   25.4422  20180124   7.0  4.0  C/2009 U5 (Grauer)                                       MPC 82315
    CK09U89G  2010 12 11.9228  3.941150  1.005200   60.6314  321.0569  130.1461  20180124   9.0  4.0  C/2009 UG89 (Lemmon)                                     MPC 82315
    CK09W020  2010 05  7.4181  6.908690  0.999288  121.6250  199.6218  164.5060  20180124   7.0  4.0  C/2009 W2 (Boattini)                                     MPC 72851
    PK09W51X  2015 06 25.0382  0.798009  0.740626  118.1314   31.6645    9.6001  20180124  19.0  2.0  P/2009 WX51 (Catalina)                                   MPC105235
    CK09Y010  2011 01 30.1031  2.500495  0.992739  127.1524  160.2704  107.3360  20180124   9.0  4.0  C/2009 Y1 (Catalina)                                     MPC 82316
    PK09Y020  2010 03 19.9551  2.379491  0.636325  172.3893  262.0194   29.9533  20180124  13.0  4.0  P/2009 Y2 (Kowalski)                                     MPC 74247
    PK10A010  2018 10 14.8070  1.957157  0.554071   13.3104   47.3170   10.3085  20180124  13.0  4.0  P/2010 A1 (Hill)                                         MPC 69417
    PK10A030  2025 03 20.3334  1.626979  0.732095   41.4702   64.6654   14.9735  20180124  14.0  4.0  P/2010 A3 (Hill)                                         MPC 75711
    CK10A040  2010 10 11.3671  2.722631  0.990532  271.5860  346.6873   96.7496  20180124  12.5  4.0  C/2010 A4 (Siding Spring)                                MPC 77403
    PK10A050  2021 10 16.7269  1.702685  0.665431  307.0126  277.6890    5.7938  20180124  13.0  4.0  P/2010 A5 (LINEAR)                                       MPC 72851
    CK10B010  2011 02  7.6038  2.944322  0.999938  211.6489  277.2738  101.7956  20180124   7.5  4.0  C/2010 B1 (Cardinal)                                     MPC 80896
    PK10B020  2015 06 13.1870  1.614248  0.480562  155.9842    0.8571    8.9372  20180124  17.0  4.0  P/2010 B2 (WISE)                                         MPC105235
    PK10C010  2009 12  2.3200  5.248961  0.260026    4.0612  141.8881    9.1365  20180124   9.5  4.0  P/2010 C1 (Scotti)                                       MPC 75008
    PK10D020  2010 02 27.2496  3.687511  0.450730  120.3375  319.8412   57.1110  20180124  16.0  4.0  P/2010 D2 (WISE)                                         MPC 75008
    CK10D030  2010 09  3.3583  4.248264  1.000035  304.6468  255.0684   76.3169  20180124   9.0  4.0  C/2010 D3 (WISE)                                         MPC 84315
    CK10D040  2009 03 26.5133  7.153351  0.885302   44.3797  266.7414  105.7792  20180124   6.5  4.0  C/2010 D4 (WISE)                                         MPC 76025
    CK10D56G  2010 05 16.6400  1.575867  0.976612  318.3637    4.1392  160.4102  20180124  16.0  4.0  C/2010 DG56 (WISE)                                       MPC 74248
    CK10E010  2009 11  4.3309  2.686099  0.976112  297.2187  169.2050   71.6147  20180124  11.5  4.0  C/2010 E1 (Garradd)                                      MPC 70361
    PK10E020  2010 04 10.5155  2.395065  0.722350    8.3158  177.8126   15.4632  20180124  14.0  4.0  P/2010 E2 (Jarnac)                                       MPC 75009
    CK10E050  2009 11 20.9562  3.905065  0.843747  148.0989   16.9205   18.9082  20180124  10.5  4.0  C/2010 E5 (Scotti)                                       MPC 70361
    CK10F010  2009 11  7.4606  3.615871  0.948006  127.7768  344.3418   64.8622  20180124   9.5  4.0  C/2010 F1 (Boattini)                                     MPC 72132
    CK10F030  2010 08  5.5872  5.462235  0.915297   31.4672  157.3269    4.6483  20180124   8.5  4.0  C/2010 F3 (Scotti)                                       MPC 82316
    CK10F87B  2010 11  5.4073  2.851729  0.987397  265.0823   90.0363  107.8582  20180124  10.0  4.0  C/2010 FB87 (WISE-Garradd)                               MPC 82316
    CK10G010  2010 04  1.6966  1.216218  0.997700  168.8046  287.6040   78.1584  20180124  12.5  4.0  C/2010 G1 (Boattini)                                     MPC 70816
    CK10G020  2011 09  2.3835  1.976109  0.978856  137.4128  247.0425  103.7542  20180124   8.0  4.0  C/2010 G2 (Hill)                                         MPC 83142
    CK10G030  2010 04  6.5032  4.921162  0.994947   75.2104  313.7794  108.3250  20180124   8.5  4.0  C/2010 G3 (WISE)                                         MPC 75292
